"Month","num"
"1978-02",10489.3
"1978-03",10508.6
"1978-04",10518.7
"1978-05",10530.9
"1978-06",10543.4
"1978-07",10555.4
"1978-08",10570.5
"1978-09",10586.9
"1978-10",10598.3
"1978-11",10612.9
"1978-12",10629.0
"1979-01",10643.8
"1979-02",10660.7
"1979-03",10679.9
"1979-04",10692.1
"1979-05",10706.5
"1979-06",10724.4
"1979-07",10736.4
"1979-08",10750.7
"1979-09",10766.9
"1979-10",10781.2
"1979-11",10797.6
"1979-12",10816.1
"1980-01",10829.1
"1980-02",10844.1
"1980-03",10861.0
"1980-04",10875.6
"1980-05",10892.0
"1980-06",10909.7
"1980-07",10924.1
"1980-08",10940.7
"1980-09",10959.6
"1980-10",10977.2
"1980-11",10997.0
"1980-12",11019.1
"1981-01",11036.9
"1981-02",11057.0
"1981-03",11079.3
"1981-04",11093.6
"1981-05",11110.2
"1981-06",11128.0
"1981-07",11146.7
"1981-08",11165.5
"1981-09",11184.2
"1981-10",11204.6
"1981-11",11224.9
"1981-12",11245.3
"1982-01",11266.0
"1982-02",11286.1
"1982-03",11306.8
"1982-04",11326.0
"1982-05",11344.5
"1982-06",11362.9
"1982-07",11380.5
"1982-08",11398.1
"1982-09",11415.9
"1982-10",11430.4
"1982-11",11444.1
"1982-12",11459.1
"1983-01",11478.9
"1983-02",11498.1
"1983-03",11517.8
"1983-04",11536.0
"1983-05",11554.4
"1983-06",11572.6
"1983-07",11589.4
"1983-08",11606.2
"1983-09",11623.2
"1983-10",11638.3
"1983-11",11653.2
"1983-12",11668.1
"1984-01",11688.6
"1984-02",11705.9
"1984-03",11723.3
"1984-04",11740.4
"1984-05",11757.5
"1984-06",11774.6
"1984-07",11791.7
"1984-08",11808.8
"1984-09",11826.0
"1984-10",11844.3
"1984-11",11862.6
"1984-12",11881.0
"1985-01",11900.8
"1985-02",11920.7
"1985-03",11940.7
"1985-04",11958.1
"1985-05",11975.6
"1985-06",11993.1
"1985-07",12012.3
"1985-08",12031.4
"1985-09",12050.6
"1985-10",12073.3
"1985-11",12096.1
"1985-12",12119.0
"1986-01",12141.6
"1986-02",12164.2
"1986-03",12186.9
"1986-04",12207.8
"1986-05",12228.7
"1986-06",12249.7
"1986-07",12270.8
"1986-08",12291.9
"1986-09",12313.0
"1986-10",12334.8
"1986-11",12356.6
"1986-12",12378.5
"1987-01",12401.4
"1987-02",12424.4
"1987-03",12447.4
"1987-04",12468.8
"1987-05",12489.9
"1987-06",12511.0
"1987-07",12531.2
"1987-08",12551.2
"1987-09",12571.1
"1987-10",12594.4
"1987-11",12617.4
"1987-12",12640.5
"1988-01",12664.4
"1988-02",12688.0
"1988-03",12711.8
"1988-04",12732.6
"1988-05",12753.4
"1988-06",12774.3
"1988-07",12794.6
"1988-08",12814.5
"1988-09",12834.5
"1988-10",12856.9
"1988-11",12879.3
"1988-12",12901.7
"1989-01",12924.4
"1989-02",12947.1
"1989-03",12969.9
"1989-04",12991.8
"1989-05",13013.6
"1989-06",13035.5
"1989-07",13055.5
"1989-08",13075.4
"1989-09",13095.5
"1989-10",13112.4
"1989-11",13129.3
"1989-12",13146.1
"1990-01",13163.1
"1990-02",13179.9
"1990-03",13196.8
"1990-04",13216.6
"1990-05",13236.5
"1990-06",13256.4
"1990-07",13276.3
"1990-08",13296.2
"1990-09",13316.2
"1990-10",13336.1
"1990-11",13356.0
"1990-12",13375.9
"1991-01",13395.1
"1991-02",13414.2
"1991-03",13433.5
"1991-04",13451.2



